Specialist Name,Specialization,Address,Floor,Zip code,District,State ,Country
Katja Meißner,General practice,Willdenowstraße 5B,,13353,Wedding,Berlin,Germany
Nicolette Juche,General practice,Müllerstraße 51,,13349,Wedding,Berlin,Germany
Margarita Sanchez Garcia,General practice,Müllerstraße 32A,,13353,Wedding,Berlin,Germany
BrigitteTessnow,General practice,Neue Hochstraße 24,,13347,Wedding,Berlin,Germany
Jens Kretlow,General practice,Brüsseler Straße 1,,13353,Wedding,Berlin,Germany
Iris Bakki,General practice,Nazarethkirchstraße 37,,13347,Wedding,Berlin,Germany
Uwe Hädicke,General practice,Müllerstraße 156A,,13353,Wedding,Berlin,Germany
Christian Bohle,General practice,Genter Straße 41,,13353,Wedding,Berlin,Germany
Melanie Aalburg,General practice,Müllerstraße 87,,13349,Wedding,Berlin,Germany
Fatma Aslan-Özdemir,General practice,Müllerstraße 163B,,13353,Wedding,Berlin,Germany
Manfred Lapp,General practice,Müllerstraße 40B,,13353,Wedding,Berlin,Germany
Margarete Falbe,General practice,Müllerstraße 51,,13349,Wedding,Berlin,Germany
Olaf Meyer,General practice,Seestraße 99,,13353,Wedding,Berlin,Germany
Mahmoud Pakzad,General practice,Müllerstraße 151,,13353,Wedding,Berlin,Germany
Bernd-Michael Wobbe,General practice,Togostraße 7,,13351,Wedding,Berlin,Germany
Wolfgang Conzelmann,General practice,Genter Straße 7,,13353,Wedding,Berlin,Germany
Ahmad Ali Issavand,Orthopeadics,Fennstraße 3,,13347,Wedding,Berlin,Germany
Kai Röttger,Orthopeadics,Müllerstraße 32A,,13353,Wedding,Berlin,Germany
Jürgen Wismach,Orthopeadics,Müllerstraße 32A,,13353,Wedding,Berlin,Germany
Rahman Ahmed,Orthopeadics,Müllerstraße 151,,13353,Wedding,Berlin,Germany
Manuel Kretzschmar,Orthopeadics,Müllerstraße 56 - 58,,13349,Wedding,Berlin,Germany
Andreas Schief,Orthopeadics,Müllerstraße 151,,13353,Wedding,Berlin,Germany
Marcus Fischdick,Gynaecology and Obstetrics,Müllerstraße 33,,13353,Wedding,Berlin,Germany
Bettina Schulz,Gynaecology and Obstetrics,Antwerpener Straße 3,,13353,Wedding,Berlin,Germany
Maria Link,Gynaecology and Obstetrics,Müllerstraße 79B,,13349,Wedding,Berlin,Germany
Martina Seidler,Gynaecology and Obstetrics,Müllerstraße 156A,,13353,Wedding,Berlin,Germany
Erich Freisleben,Internal medicine,Föhrer Straße 7,,13353,Wedding,Berlin,Germany
Sabine Pricelius,Internal medicine,Müllerstraße 143,,13353,Wedding,Berlin,Germany
Jürgen Gadow,Internal medicine,Müllerstraße 139,,13353,Wedding,Berlin,Germany
Gerhard Hagner,Internal medicine,Müllerstraße 126A,,13349,Wedding,Berlin,Germany
Caroline Neubert,Internal medicine,Müllerstraße 139,,13353,Wedding,Berlin,Germany
Hans-Thomas Dress,Nuclear medicine,Müllerstraße 56 - 58,,13349,Wedding,Berlin,Germany
Regina Busch,Ophthalmology,Müllerstraße 156A,,13353,Wedding,Berlin,Germany
Christina von Mickwitz,Ophthalmology,Badstraße 16,,13357,Wedding,Berlin,Germany
Soja Pfau-Farschid,Ophthalmology,Müllerstraße 126A,,13349,Wedding,Berlin,Germany
Christoph Dickert,Dermatology,Müllerstraße 139A,,13353,Wedding,Berlin,Germany
Brigitta Reinsch,Dermatology,Müllerstraße 70B,,13349,Wedding,Berlin,Germany
R. Bohm,Cardiology,Badstraße 44,,13357,Wedding,Berlin,Germany
Dieter-Hagen Mahlo,Pulmonary medicine,Brüsseler Straße 1,,13353,Wedding,Berlin,Germany
Peter Thomas Fennel,Pulmonary medicine,Müllerstraße 143,,13353,Wedding,Berlin,Germany
Martin Meinke,Neurology,Reinickendorfer Straße 11,,13347,Wedding,Berlin,Germany
Rainer Hoffmann,Neurology,Müllerstraße 153,,13353,Wedding,Berlin,Germany
Günter Knefel,Neurology,Senegalstraße 10,,13351,Wedding,Berlin,Germany
Jens Meyer,Gastroenterology,Koloniestraße 21,,13359,Wedding,Berlin,Germany
Keno Wolbergs,Gastroenterology,Luxemburger Straße 35,,13353,Wedding,Berlin,Germany
Martina Rosenhöfer,Physiotherapy and rehabilitation medicine,Müllerstraße 32A,,13353,Wedding,Berlin,Germany
Halil Ibrahim Bulat,Physiotherapy and rehabilitation medicine,Fennstraße 3,,13347,Wedding,Berlin,Germany
Rainer Koßmann,Psychiatry,Müllerstraße 51,,13349,Wedding,Berlin,Germany
Gerrit Hofrichter,Radiology,Müllerstraße 151,,13353,Wedding,Berlin,Germany
L. Regitz-Jedermann,Radiology,Kapweg 3,,13405,Wedding,Berlin,Germany
Jörg Jessa,Radiology,Müllerstraße 151,,13353,Wedding,Berlin,Germany
